model,threshold,line_value,bubble_value
Qwen2.5-Math-7B,0.0,2.3255813953488413,1.0390625
Qwen2.5-Math-7B,0.1,0.0,0.9459459459459459
Qwen2.5-Math-7B,0.2,0.0,0.9464285714285714
Qwen2.5-Math-7B,0.3,0.0,1.07
Qwen2.5-Math-7B,0.4,0.0,1.07
Qwen2.5-Math-7B,0.5,0.0,1.07
Qwen2.5-Math-7B,0.6,0.0,1.08
Qwen2.5-Math-7B,0.7,0.0,1.08
Qwen2.5-Math-7B,0.8,0.0,1.09
Qwen2.5-Math-7B,0.9,0.0,1.12
Gemma2:9B,0.0,-6.976744186046513,0.8733031674208145
Gemma2:9B,0.1,-5.263157894736836,0.9386503067484664
Gemma2:9B,0.2,6.25,1.296
Gemma2:9B,0.3,0.0,1.1315789473684212
Gemma2:9B,0.4,0.0,1.1315789473684212
Gemma2:9B,0.5,0.0,1.1315789473684212
Gemma2:9B,0.6,0.0,1.1391304347826088
Gemma2:9B,0.7,0.0,1.1391304347826088
Gemma2:9B,0.8,0.0,1.152542372881356
Gemma2:9B,0.9,0.0,1.2
Gemma2:2B,0.0,2.3255813953488302,1.0537974683544304
Gemma2:2B,0.1,-5.263157894736836,0.9457627118644067
Gemma2:2B,0.2,0.0,0.98
Gemma2:2B,0.3,-7.142857142857151,0.88
Gemma2:2B,0.4,-7.142857142857151,0.88
Gemma2:2B,0.5,-7.142857142857151,0.88
Gemma2:2B,0.6,-7.692307692307687,0.863157894736842
Gemma2:2B,0.7,-7.692307692307687,0.863157894736842
Gemma2:2B,0.8,-9.090909090909093,0.8368794326241135
Gemma2:2B,0.9,-12.5,0.923076923076923
