model,threshold,line_value,bubble_value
Qwen2.5-Math-7B,0.0,0.19999999999998908,1.0585106382978724
Qwen2.5-Math-7B,0.1,0.9950248756218971,1.1165644171779143
Qwen2.5-Math-7B,0.2,0.5847953216374324,1.0987654320987654
Qwen2.5-Math-7B,0.3,0.6622516556291425,1.1153846153846154
Qwen2.5-Math-7B,0.4,0.7462686567164201,1.0886075949367089
Qwen2.5-Math-7B,0.5,0.8264462809917439,1.0828025477707006
Qwen2.5-Math-7B,0.6,0.8695652173912993,1.0897435897435896
Qwen2.5-Math-7B,0.7,0.952380952380949,1.1216216216216215
Qwen2.5-Math-7B,0.8,2.2471910112359605,1.1714285714285715
Qwen2.5-Math-7B,0.9,2.6666666666666727,1.1544117647058822
Gemma2:9B,0.0,0.20000000000000018,0.9936507936507937
Gemma2:9B,0.1,0.0,0.9832214765100672
Gemma2:9B,0.2,0.0,0.9833333333333334
Gemma2:9B,0.3,0.6622516556291425,0.9827586206896552
Gemma2:9B,0.4,0.746268656716409,0.9895833333333334
Gemma2:9B,0.5,2.4793388429752095,1.0034246575342467
Gemma2:9B,0.6,3.4782608695652195,1.0173010380622838
Gemma2:9B,0.7,2.857142857142858,1.0106382978723405
Gemma2:9B,0.8,2.2471910112359494,0.9892473118279569
Gemma2:9B,0.9,2.6666666666666727,0.9859649122807017
Gemma2:2B,0.0,1.5999999999999988,1.014018691588785
Gemma2:2B,0.1,2.985074626865675,1.0347394540942927
Gemma2:2B,0.2,5.263157894736842,1.0390243902439025
Gemma2:2B,0.3,4.635761589403975,1.0342298288508558
Gemma2:2B,0.4,6.716417910447758,1.0448877805486285
Gemma2:2B,0.5,6.6115702479338845,1.0446650124069479
Gemma2:2B,0.6,6.086956521739129,1.0425
Gemma2:2B,0.7,7.6190476190476195,1.0431472081218276
Gemma2:2B,0.8,5.6179775280898845,1.0255754475703325
Gemma2:2B,0.9,6.6666666666666705,1.0328282828282829
