model,threshold,line_value,bubble_value
Qwen2.5-Math-7B,0.0,2.3255813953488413,1.0
Qwen2.5-Math-7B,0.1,5.263157894736848,1.0
Qwen2.5-Math-7B,0.2,6.25,1.0
Qwen2.5-Math-7B,0.3,0.0,1.0
Qwen2.5-Math-7B,0.4,0.0,1.0
Qwen2.5-Math-7B,0.5,0.0,1.0
Qwen2.5-Math-7B,0.6,0.0,1.0
Qwen2.5-Math-7B,0.7,0.0,1.0
Qwen2.5-Math-7B,0.8,0.0,1.0
Qwen2.5-Math-7B,0.9,0.0,1.0
Gemma2:9B,0.0,6.976744186046513,1.0
Gemma2:9B,0.1,10.526315789473683,1.0
Gemma2:9B,0.2,12.5,1.0
Gemma2:9B,0.3,21.42857142857143,1.0
Gemma2:9B,0.4,21.42857142857143,1.0
Gemma2:9B,0.5,21.42857142857143,1.0
Gemma2:9B,0.6,23.076923076923084,1.0
Gemma2:9B,0.7,23.076923076923084,1.0
Gemma2:9B,0.8,27.27272727272727,1.0
Gemma2:9B,0.9,37.5,1.0
Gemma2:2B,0.0,-18.6046511627907,1.0
Gemma2:2B,0.1,-21.052631578947366,1.0
Gemma2:2B,0.2,-18.75,1.0
Gemma2:2B,0.3,-21.42857142857143,1.0
Gemma2:2B,0.4,-21.42857142857143,1.0
Gemma2:2B,0.5,-21.42857142857143,1.0
Gemma2:2B,0.6,-30.76923076923077,1.0
Gemma2:2B,0.7,-30.76923076923077,1.0
Gemma2:2B,0.8,-27.272727272727277,1.0
Gemma2:2B,0.9,-25.0,1.0
