model,threshold,line_value,bubble_value
Qwen2.5-Math-7B,0.0,0.20000000000000018,1.0
Qwen2.5-Math-7B,0.1,2.985074626865669,1.0
Qwen2.5-Math-7B,0.2,5.847953216374268,1.0
Qwen2.5-Math-7B,0.3,6.622516556291391,1.0
Qwen2.5-Math-7B,0.4,5.97014925373135,1.0
Qwen2.5-Math-7B,0.5,5.785123966942152,1.0
Qwen2.5-Math-7B,0.6,6.08695652173914,1.0
Qwen2.5-Math-7B,0.7,6.666666666666677,1.0
Qwen2.5-Math-7B,0.8,4.49438202247191,1.0
Qwen2.5-Math-7B,0.9,2.6666666666666616,1.0
Gemma2:9B,0.0,-0.40000000000000036,1.0
Gemma2:9B,0.1,-3.4825870646766175,1.0
Gemma2:9B,0.2,-4.093567251461988,1.0
Gemma2:9B,0.3,-1.9867549668874163,1.0
Gemma2:9B,0.4,-0.7462686567164201,1.0
Gemma2:9B,0.5,0.8264462809917328,1.0
Gemma2:9B,0.6,0.0,1.0
Gemma2:9B,0.7,0.0,1.0
Gemma2:9B,0.8,4.49438202247191,1.0
Gemma2:9B,0.9,2.666666666666667,1.0
Gemma2:2B,0.0,-2.400000000000001,1.0
Gemma2:2B,0.1,-3.4825870646766175,1.0
Gemma2:2B,0.2,-3.508771929824561,1.0
Gemma2:2B,0.3,-4.635761589403972,1.0
Gemma2:2B,0.4,-5.970149253731344,1.0
Gemma2:2B,0.5,-4.958677685950414,1.0
Gemma2:2B,0.6,-6.086956521739132,1.0
Gemma2:2B,0.7,-7.6190476190476195,1.0
Gemma2:2B,0.8,-7.865168539325842,1.0
Gemma2:2B,0.9,-5.333333333333334,1.0
